time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_range,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
0,39,1,3,,,,,,,,,,,,
0,79,2,6,0.2,0.02665194794535637,-0.007963801734149456,-1.133657169342041,0.0006569624,-0.008310298280169626,0.0,-4814.8544921875,10,0.0003,,
0,120,3,9,0.2,3.366927647590637,1.5401623249053955,-1.647027885913849,3.695488e-06,0.0013453750987537205,0.0,0.0,20,0.0003,,
0,150,4,12,0.2,16.25884418487549,7.7266340255737305,-1.3640355944633484,0.00013685226,-0.0038650070840958507,0.0,-1.1920928955078125e-07,30,0.0003,,
0,185,5,15,0.2,52.693800354003905,25.548934936523438,-1.0591894745826722,0.00035915774,-0.006925712248388116,0.0,1.1920928955078125e-07,40,0.0003,,
0,226,6,18,0.2,938.1446960449218,465.37603759765625,-1.476162075996399,2.5749207e-05,-0.000841355836519142,0.0,-4.76837158203125e-07,50,0.0003,,
0,277,7,21,0.2,3208.70986328125,1595.604736328125,-1.5503485560417176,2.1199387e-05,-0.0019293783319881187,0.0,2.384185791015625e-07,60,0.0003,20.0,176.0
0,312,8,24,0.2,462.0028839111328,228.2427520751953,-0.23094704896211624,4.0809315e-05,-0.0007403572497423738,0.0,0.021269023418426514,70,0.0003,20.0,176.0
0,348,9,27,0.2,9.777500915527344,4.424959659576416,-1.841209065914154,0.00047045946,-0.010343133700854424,0.0,-2.384185791015625e-07,80,0.0003,20.0,176.0
0,389,10,30,0.2,665.7716064453125,328.4170227050781,-1.9440502882003785,4.2120617e-05,-0.0015368799526186195,0.0,-0.12368452548980713,90,0.0003,20.0,176.0
0,425,11,33,0.2,2749.864208984375,1364.0184326171875,-1.781121051311493,2.304713e-06,-0.000621960078326822,0.0,5.960464477539063e-08,100,0.0003,20.0,176.0
0,466,12,36,0.2,2843.7404541015626,1410.378173828125,-1.3635055899620057,7.371108e-06,-0.0011673890966136468,0.0,-1.1920928955078125e-07,110,0.0003,20.0,176.0
0,501,13,39,0.2,2842.295361328125,1409.54248046875,-1.2895588278770447,1.847744e-06,-0.0004468164236939742,0.0,-1.1920928955078125e-07,120,0.0003,20.0,176.0
0,536,14,42,0.2,5304.473779296875,2635.171142578125,-1.192445707321167,3.1610332e-05,-0.002219612180488184,0.0,-0.001885533332824707,130,0.0003,20.0,296.5
0,577,15,45,0.2,603.7897399902344,298.0619812011719,-0.8269373953342438,4.9928825e-05,-0.002630543749546632,0.0,0.06096738576889038,140,0.0003,20.0,296.5
0,612,16,48,0.2,0.02756597427651286,-0.01307855173945427,-1.7812195420265198,0.00069413584,-0.013629045228784253,0.0,-1.1920928955078125e-07,150,0.0003,20.0,296.5
0,657,17,51,0.2,16.085390281677245,7.727360248565674,-2.021270775794983,0.00019806623,-0.007196437932240585,0.0,-1.1920928955078125e-07,160,0.0003,20.0,296.5
0,688,18,54,0.2,15.175486660003662,6.966274738311768,-1.3635374069213868,1.414617e-05,-0.001432831420970615,0.0,-1.1920928955078125e-07,170,0.0003,20.0,296.5
0,719,19,57,0.2,94.39859466552734,45.289920806884766,-1.3844615697860718,8.24531e-06,-0.0007705548511381721,0.0,-1.1920928955078125e-07,180,0.0003,20.0,296.5
